userName,score,at,content
Ajiputra Priamahal,1,2025-12-03 14:11:48,"gak logis katanya digital sama aja dong ke dukcapil nya tolong lah jangan kayak gitu itu namanya bukan permudah tapi persulit,orang mau nya praktis gausah pergi² jauh ke dukcapil iya kalo rumah nya Deket kalo yang jauh gimana hadehh"
Maskur Subuh,1,2025-12-03 13:56:15,"loading lama, dan selalu log out, tiap kali mau pakai harus log-in ga bisa otomatis"
Dery Fathur,2,2025-12-03 13:49:46,"kok saya harus registrasi lagi ya? padahal dulu udah terdaftar. malah muncul tulisan ""Identitas tidak ditemukan"""
Haslinda Depi,1,2025-12-03 12:45:00,tidak ada fungsinya yang ada jual data diri
gio andrian,3,2025-12-03 11:52:26,kode QR tuh yg di KK bukan sih ? tolong di balas
Hermawan Cristianto,5,2025-12-03 11:32:05,lebih canggih
MDS,1,2025-12-03 11:23:58,Pengajuan permohonan tapi tidak di tindak lanjuti.. percuma pakai aplikasi kalo masih harus datang juga pengurusan secara offline
Mr. Morat,1,2025-12-03 11:21:42,tidak support android 15 tolong segera diupdate
E Budhiono,5,2025-12-03 09:23:58,mohon info KTP digital koq ga bisa diakses ya kenapa?
Supri Yadi,5,2025-12-03 05:29:19,mantap
Ari Sati,5,2025-12-03 05:23:39,"aplikasi sudah sangat bagus, tolong tambahkan fitur download di dokumen kk, biar kalau ada kerusakan kita tinggal print sendiri tanpa harus di desa untuk minta cetak"
Shofi Wahyu Salsabila,1,2025-12-03 04:34:08,Aplikasi gak guna. Menuhin memory aja
Uzlifatul Jannah,2,2025-12-03 03:04:27,"jaaaaauuuhhh seeeekaaaaliiiii, harus ke kebupaten, kalo Deket mah enak, ini jaaauuuuhhh"
dede komar,5,2025-12-03 02:40:09,saya bikin surat pindah di ikd tapi kok belum beres2 belum keluar sertifikat
Wiranto Wira,1,2025-12-03 02:03:40,pembacaan kode QR selalu gagal
Imam Cahyono,1,2025-12-03 00:53:26,"sudah di instal di isi data yang benar, foto, ujung ujung nya gak bisa di pakai aplikasi nya, gak tau salah nya di mana"
SMA Negeri 3 Seulimeum,1,2025-12-03 00:30:58,"terlalu sering update, dan sekarang hp saya tidak lagi kompatibel dengan aplikasi, pengambang aplikasi memang luar biasa jahatnya"
Mutia bhawel,1,2025-12-02 22:36:33,gk bisa d buka
Dark Hunter,1,2025-12-02 22:28:46,"apalikasi gak guna, uda sabar nunggu update terbaru, sama aja gak bisa di buka, pasword salah terus, gak ada fitur ganti pasword halaman login"
Adi betot,5,2025-12-02 21:17:36,bagus dan pengerjaannya sangat baik cukup datayke kecamatan lalu minta barcode dr dukcapil jadi deh KTP digital
Andi Prasetyo,5,2025-12-02 17:22:15,OKE
